bike_name,price,city,kms_driven,owner,age,power,brand
TVS Apache RTR 180cc,60000.0,Delhi,2400.0,First Owner,3.0,180.0,TVS
TVS Apache RTR 200 4V ABS Race Edition,58742.0,Delhi,11068.0,First Owner,3.0,200.0,TVS
